filename,bucket,damage,backend,exit,err_class,stderr_head
fuzz_00031_valid.t27,valid,ok,rust,0,ok,
fuzz_00031_valid.t27,valid,ok,zig,0,ok,
fuzz_00031_valid.t27,valid,ok,c,0,ok,
fuzz_00032_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00032_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00032_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00033_valid.t27,valid,ok,rust,0,ok,
fuzz_00033_valid.t27,valid,ok,zig,0,ok,
fuzz_00033_valid.t27,valid,ok,c,0,ok,
fuzz_00034_valid.t27,valid,ok,rust,0,ok,
fuzz_00034_valid.t27,valid,ok,zig,0,ok,
fuzz_00034_valid.t27,valid,ok,c,0,ok,
fuzz_00035_valid.t27,valid,ok,rust,0,ok,
fuzz_00035_valid.t27,valid,ok,zig,0,ok,
fuzz_00035_valid.t27,valid,ok,c,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00038_valid.t27,valid,ok,rust,0,ok,
fuzz_00038_valid.t27,valid,ok,zig,0,ok,
fuzz_00038_valid.t27,valid,ok,c,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00041_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 25:1"
fuzz_00041_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 25:1"
fuzz_00041_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 25:1"
fuzz_00042_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00042_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00042_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00043_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00043_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00043_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00044_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00044_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00044_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00045_valid.t27,valid,ok,rust,0,ok,
fuzz_00045_valid.t27,valid,ok,zig,0,ok,
fuzz_00045_valid.t27,valid,ok,c,0,ok,
fuzz_00046_semi-valid.t27,semi-valid,arity-inflate,rust,0,ok,
fuzz_00046_semi-valid.t27,semi-valid,arity-inflate,zig,0,ok,
fuzz_00046_semi-valid.t27,semi-valid,arity-inflate,c,0,ok,
fuzz_00047_valid.t27,valid,ok,rust,0,ok,
fuzz_00047_valid.t27,valid,ok,zig,0,ok,
fuzz_00047_valid.t27,valid,ok,c,0,ok,
fuzz_00048_valid.t27,valid,ok,rust,0,ok,
fuzz_00048_valid.t27,valid,ok,zig,0,ok,
fuzz_00048_valid.t27,valid,ok,c,0,ok,
fuzz_00049_valid.t27,valid,ok,rust,0,ok,
fuzz_00049_valid.t27,valid,ok,zig,0,ok,
fuzz_00049_valid.t27,valid,ok,c,0,ok,
fuzz_00050_valid.t27,valid,ok,rust,0,ok,
fuzz_00050_valid.t27,valid,ok,zig,0,ok,
fuzz_00050_valid.t27,valid,ok,c,0,ok,
fuzz_00051_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00051_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00051_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00052_valid.t27,valid,ok,rust,0,ok,
fuzz_00052_valid.t27,valid,ok,zig,0,ok,
fuzz_00052_valid.t27,valid,ok,c,0,ok,
fuzz_00053_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00053_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00053_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00054_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00054_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00054_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00055_semi-valid.t27,semi-valid,arity-swap/no-op,rust,0,ok,
fuzz_00055_semi-valid.t27,semi-valid,arity-swap/no-op,zig,0,ok,
fuzz_00055_semi-valid.t27,semi-valid,arity-swap/no-op,c,0,ok,
fuzz_00056_valid.t27,valid,ok,rust,0,ok,
fuzz_00056_valid.t27,valid,ok,zig,0,ok,
fuzz_00056_valid.t27,valid,ok,c,0,ok,
fuzz_00057_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00057_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00057_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00058_valid.t27,valid,ok,rust,0,ok,
fuzz_00058_valid.t27,valid,ok,zig,0,ok,
fuzz_00058_valid.t27,valid,ok,c,0,ok,
