filename,bucket,damage,backend,exit,err_class,stderr_head
fuzz_00128_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00128_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00129_valid.t27,valid,ok,rust,0,ok,
fuzz_00129_valid.t27,valid,ok,zig,0,ok,
fuzz_00129_valid.t27,valid,ok,c,0,ok,
fuzz_00130_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00130_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00130_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00131_valid.t27,valid,ok,rust,0,ok,
fuzz_00131_valid.t27,valid,ok,zig,0,ok,
fuzz_00131_valid.t27,valid,ok,c,0,ok,
fuzz_00132_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00132_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00132_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00133_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00133_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00133_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00134_valid.t27,valid,ok,rust,0,ok,
fuzz_00134_valid.t27,valid,ok,zig,0,ok,
