backend,spec,run_idx,elapsed_ns,gen_lines
c,bandwidth_allocator,4,2105319,325
c,cache_management,0,1854930,267
c,cache_management,1,1832353,267
c,cache_management,2,1904082,267
c,cache_management,3,1791896,267
c,cache_management,4,1847947,267
c,compression_engine,0,1804973,260
c,compression_engine,1,1898293,260
c,compression_engine,2,1782398,260
c,compression_engine,3,1806885,260
c,compression_engine,4,1845798,260
c,cross_layer_optimizer,0,1949266,265
c,cross_layer_optimizer,1,1894746,265
c,cross_layer_optimizer,2,1881628,265
c,cross_layer_optimizer,3,1957441,265
c,cross_layer_optimizer,4,1917045,265
c,energy_aware_routing,0,2795735,294
c,energy_aware_routing,1,1942847,294
c,energy_aware_routing,2,1877847,294
c,energy_aware_routing,3,1895152,294
c,energy_aware_routing,4,1881362,294
c,adaptive_retry,0,1520720,63
c,adaptive_retry,1,1489524,63
c,adaptive_retry,2,1535394,63
c,adaptive_retry,3,1472770,63
c,adaptive_retry,4,1484796,63
c,link_quality_monitor,0,1483638,65
c,link_quality_monitor,1,1458096,65
c,link_quality_monitor,2,1443957,65
c,link_quality_monitor,3,1497334,65
c,link_quality_monitor,4,1516297,65
c,multipath_router,0,1512768,56
c,multipath_router,1,1574039,56
c,multipath_router,2,1492318,56
c,multipath_router,3,1540164,56
c,multipath_router,4,1557978,56
c,auto_config,0,2225405,298
c,auto_config,1,2032660,298
c,auto_config,2,1957886,298
c,auto_config,3,1913770,298
c,auto_config,4,1844626,298
c,adaptive_routing,0,1888568,268
c,adaptive_routing,1,1838072,268
c,adaptive_routing,2,1843745,268
c,adaptive_routing,3,1855448,268
c,adaptive_routing,4,1958477,268
c,anomaly_detector,0,1821392,303
c,anomaly_detector,1,1889321,303
c,anomaly_detector,2,1876197,303
c,anomaly_detector,3,1887861,303
c,anomaly_detector,4,1872367,303
c,api_documenter,0,2056051,291
c,api_documenter,1,1957542,291
c,api_documenter,2,1976557,291
c,api_documenter,3,1974161,291
c,api_documenter,4,2002282,291
c,area_optimization,0,1794327,247
c,area_optimization,1,1728741,247
c,area_optimization,2,1766888,247
c,area_optimization,3,1789536,247
c,area_optimization,4,1711403,247
c,docs_generator,0,2017082,348
c,docs_generator,1,2066983,348
c,docs_generator,2,2039859,348
c,docs_generator,3,2057309,348
c,docs_generator,4,2030357,348
c,fpga_synthesis_report,0,1689921,199
c,fpga_synthesis_report,1,1697264,199
c,fpga_synthesis_report,2,1659118,199
c,fpga_synthesis_report,3,1673065,199
c,fpga_synthesis_report,4,1725906,199
c,health_dashboard,0,1936688,299
c,health_dashboard,1,1892698,299
c,health_dashboard,2,1920367,299
c,health_dashboard,3,1904650,299
c,health_dashboard,4,1915221,299
c,health_monitoring,0,2293320,360
c,health_monitoring,1,2178782,360
c,health_monitoring,2,2895647,360
c,health_monitoring,3,2313130,360
c,health_monitoring,4,2225633,360
c,integration_tests,0,1739737,165
c,integration_tests,1,1793892,165
c,integration_tests,2,1678464,165
c,integration_tests,3,1836462,165
c,integration_tests,4,1700973,165
c,load_predictor,0,1809067,254
c,load_predictor,1,1752862,254
c,load_predictor,2,1788501,254
c,load_predictor,3,1783235,254
c,load_predictor,4,1794569,254
c,local_processing,0,1823196,263
c,local_processing,1,1788307,263
c,local_processing,2,1801668,263
c,local_processing,3,1849612,263
c,local_processing,4,1843249,263
c,mesh_node_sim,0,1719719,156
c,mesh_node_sim,1,1770963,156
c,mesh_node_sim,2,1719496,156
c,mesh_node_sim,3,1709407,156
c,mesh_node_sim,4,1706338,156
c,mesh_protocol_stack,0,1767843,225
c,mesh_protocol_stack,1,1743752,225
c,mesh_protocol_stack,2,1730503,225
c,mesh_protocol_stack,3,1725073,225
c,mesh_protocol_stack,4,1761766,225
c,multipath_routing,0,1990473,321
c,multipath_routing,1,1965232,321
c,multipath_routing,2,2063257,321
c,multipath_routing,3,1979516,321
c,multipath_routing,4,2063624,321
c,network_coding,0,1910539,260
c,network_coding,1,1783825,260
c,network_coding,2,1782777,260
c,network_coding,3,1857192,260
c,network_coding,4,1818575,260
c,network_orchestrator,0,1931694,304
c,network_orchestrator,1,1883972,304
c,network_orchestrator,2,1850692,304
c,network_orchestrator,3,1935184,304
c,network_orchestrator,4,1898294,304
c,network_simulator,0,1918105,307
c,network_simulator,1,1974335,307
c,network_simulator,2,1915591,307
c,network_simulator,3,1927516,307
c,network_simulator,4,1893945,307
c,olsr_routing,0,1833019,231
c,olsr_routing,1,1837150,231
c,olsr_routing,2,1845670,231
c,olsr_routing,3,1887639,231
c,olsr_routing,4,1902853,231
c,pattern_predictor,0,2106054,297
c,pattern_predictor,1,2058340,297
c,pattern_predictor,2,2244104,297
c,pattern_predictor,3,2265194,297
c,pattern_predictor,4,2130505,297
c,performance_benchmarks,0,1682891,224
c,performance_benchmarks,1,1697390,224
c,performance_benchmarks,2,1654431,224
c,performance_benchmarks,3,1709376,224
c,performance_benchmarks,4,1655991,224
c,performance_profiler,0,2003701,310
c,performance_profiler,1,1872767,310
c,performance_profiler,2,1864533,310
c,performance_profiler,3,1842706,310
c,performance_profiler,4,1886431,310
c,power_monitoring,0,1792071,244
c,power_monitoring,1,1743355,244
c,power_monitoring,2,1786087,244
c,power_monitoring,3,1756598,244
c,power_monitoring,4,1716833,244
c,production_deployment,0,1712101,221
c,production_deployment,1,1690632,221
c,production_deployment,2,1780710,221
c,production_deployment,3,1674684,221
c,production_deployment,4,1716343,221
c,production_scenarios,0,1768695,226
c,production_scenarios,1,1617074,226
c,production_scenarios,2,1661233,226
c,production_scenarios,3,1680237,226
c,production_scenarios,4,1649638,226
c,quarantine_manager,0,1812577,278
c,quarantine_manager,1,1789227,278
c,quarantine_manager,2,1754406,278
c,quarantine_manager,3,1875557,278
c,quarantine_manager,4,1778158,278
c,resource_scheduler,0,1987602,361
c,resource_scheduler,1,2056415,361
c,resource_scheduler,2,1970889,361
c,resource_scheduler,3,2002464,361
c,resource_scheduler,4,1984153,361
c,swarm_coordinator,0,1925808,259
c,swarm_coordinator,1,1874120,259
c,swarm_coordinator,2,1919773,259
c,swarm_coordinator,3,1927173,259
c,swarm_coordinator,4,1975201,259
c,test_framework,0,1968084,361
c,test_framework,1,1931268,361
c,test_framework,2,1988069,361
c,test_framework,3,1911526,361
c,test_framework,4,1956446,361
c,timing_closure,0,1746519,229
c,timing_closure,1,1678113,229
c,timing_closure,2,1694780,229
c,timing_closure,3,1720377,229
c,timing_closure,4,1655831,229
c,topology_visualizer,0,1912323,295
c,topology_visualizer,1,1930562,295
c,topology_visualizer,2,1894018,295
c,topology_visualizer,3,1999729,295
c,topology_visualizer,4,1903067,295
c,traffic_animator,0,2078247,363
c,traffic_animator,1,2147187,363
c,traffic_animator,2,2057508,363
c,traffic_animator,3,2046253,363
c,traffic_animator,4,2045352,363
c,failure_predictor,0,1935595,305
c,failure_predictor,1,1887650,305
c,failure_predictor,2,1927475,305
c,failure_predictor,3,1947814,305
c,failure_predictor,4,1917283,305
c,hardware_validation,0,1720647,224
c,hardware_validation,1,1757867,224
c,hardware_validation,2,1687132,224
c,hardware_validation,3,1701957,224
c,hardware_validation,4,1709218,224
c,integration_framework,0,2126144,423
c,integration_framework,1,2059871,423
c,integration_framework,2,2038674,423
c,integration_framework,3,2182197,423
c,integration_framework,4,2038625,423
c,network_analytics,0,1792772,264
c,network_analytics,1,1763193,264
c,network_analytics,2,1794340,264
c,network_analytics,3,1748897,264
c,network_analytics,4,1773749,264
c,packet_loss_injection,0,1665271,176
c,packet_loss_injection,1,1587201,176
c,packet_loss_injection,2,1575301,176
c,packet_loss_injection,3,1577744,176
c,packet_loss_injection,4,1596190,176
c,test_validator,0,1916915,337
c,test_validator,1,1910871,337
c,test_validator,2,1894917,337
c,test_validator,3,1983057,337
c,test_validator,4,1935358,337
