backend,spec,run_idx,elapsed_ns,gen_lines
rust,fpga_synthesis_report,3,1709835,72
rust,fpga_synthesis_report,4,1695328,72
rust,health_dashboard,0,1985843,288
rust,health_dashboard,1,1977243,288
rust,health_dashboard,2,1942355,288
rust,health_dashboard,3,1946151,288
rust,health_dashboard,4,2035104,288
rust,health_monitoring,0,2261922,300
rust,health_monitoring,1,2365863,300
rust,health_monitoring,2,2230308,300
rust,health_monitoring,3,2232758,300
rust,health_monitoring,4,2224781,300
rust,integration_tests,0,1723309,33
rust,integration_tests,1,1697522,33
rust,integration_tests,2,1677100,33
rust,integration_tests,3,1684933,33
rust,integration_tests,4,1809213,33
rust,load_predictor,0,1777444,218
rust,load_predictor,1,1831069,218
rust,load_predictor,2,1827039,218
rust,load_predictor,3,1769145,218
rust,load_predictor,4,1753785,218
rust,local_processing,0,1937897,219
rust,local_processing,1,1832458,219
rust,local_processing,2,1926866,219
rust,local_processing,3,1874594,219
rust,local_processing,4,1900368,219
rust,mesh_node_sim,0,1771766,67
rust,mesh_node_sim,1,1889117,67
rust,mesh_node_sim,2,1770292,67
rust,mesh_node_sim,3,1796220,67
rust,mesh_node_sim,4,1762428,67
rust,mesh_protocol_stack,0,1768449,69
rust,mesh_protocol_stack,1,1750975,69
rust,mesh_protocol_stack,2,1748263,69
rust,mesh_protocol_stack,3,1828124,69
rust,mesh_protocol_stack,4,1825437,69
rust,multipath_routing,0,2070995,190
rust,multipath_routing,1,2102471,190
rust,multipath_routing,2,2006823,190
rust,multipath_routing,3,2068512,190
rust,multipath_routing,4,2021903,190
rust,network_coding,0,1838951,130
rust,network_coding,1,1866234,130
rust,network_coding,2,1831238,130
rust,network_coding,3,1855115,130
rust,network_coding,4,1900789,130
rust,network_orchestrator,0,1924785,283
rust,network_orchestrator,1,1943837,283
rust,network_orchestrator,2,1999315,283
rust,network_orchestrator,3,1912202,283
rust,network_orchestrator,4,1884464,283
rust,network_simulator,0,1961758,263
rust,network_simulator,1,1960342,263
rust,network_simulator,2,1994166,263
rust,network_simulator,3,2006124,263
rust,network_simulator,4,2033977,263
rust,olsr_routing,0,1866835,113
rust,olsr_routing,1,1963021,113
rust,olsr_routing,2,1917377,113
rust,olsr_routing,3,1895708,113
rust,olsr_routing,4,1920627,113
rust,pattern_predictor,0,2118405,167
rust,pattern_predictor,1,2085170,167
rust,pattern_predictor,2,2116932,167
rust,pattern_predictor,3,2187601,167
rust,pattern_predictor,4,2107803,167
rust,performance_benchmarks,0,1673806,73
rust,performance_benchmarks,1,1712540,73
rust,performance_benchmarks,2,1676112,73
rust,performance_benchmarks,3,1673738,73
rust,performance_benchmarks,4,1698908,73
rust,performance_profiler,0,1993937,249
rust,performance_profiler,1,1941514,249
rust,performance_profiler,2,1980410,249
rust,performance_profiler,3,1971266,249
rust,performance_profiler,4,2026384,249
rust,power_monitoring,0,1796158,100
rust,power_monitoring,1,1943830,100
rust,power_monitoring,2,1867621,100
rust,power_monitoring,3,1770511,100
rust,power_monitoring,4,1761387,100
rust,production_deployment,0,1724496,99
rust,production_deployment,1,1821867,99
rust,production_deployment,2,1704878,99
rust,production_deployment,3,1701624,99
rust,production_deployment,4,1733943,99
rust,production_scenarios,0,1738052,93
rust,production_scenarios,1,1802329,93
rust,production_scenarios,2,1709256,93
rust,production_scenarios,3,1716710,93
rust,production_scenarios,4,1786816,93
