backend,spec,gen_lines,n_runs,median_ns,mean_ns,stddev_ns,min_ns,max_ns
rust,link_statistics,23,5,1494821,1484933,22965,1460203,1511251
rust,lite_crypto,27,5,1593544,1603580,30884,1562230,1636311
rust,load_predictor,218,5,1777444,1791696,35171,1753785,1831069
rust,local_processing,219,5,1900368,1894436,42458,1832458,1937897
rust,m3_multihop,49,5,1534959,1538268,31945,1500677,1571483
rust,mesh_node_sim,67,5,1771766,1797964,52504,1762428,1889117
rust,mesh_protocol_stack,69,5,1768449,1784249,39601,1748263,1828124
rust,mesh_routing,35,5,1770336,1763280,33950,1710180,1799470
rust,multipath_router,23,5,1515048,1527652,60317,1447989,1606810
rust,multipath_routing,190,5,2068512,2054140,39066,2006823,2102471
rust,network_analytics,120,5,1825867,1841129,54916,1792475,1927313
rust,network_coding,130,5,1855115,1858465,27317,1831238,1900789
rust,network_metrics,38,5,1505971,1538886,53343,1491401,1603646
rust,network_orchestrator,283,5,1924785,1932920,42926,1884464,1999315
rust,network_simulator,263,5,1994166,1991273,31146,1960342,2033977
rust,olsr_routing,113,5,1917377,1912713,35387,1866835,1963021
rust,packet_loss_injection,47,5,1680516,1671194,32632,1625724,1704246
rust,packet_queue,45,5,1684386,1783346,251125,1621940,2229477
rust,pattern_predictor,167,5,2116932,2123182,38383,2085170,2187601
rust,performance_benchmarks,73,5,1676112,1687020,17766,1673738,1712540
rust,performance_profiler,249,5,1980410,1982702,31091,1941514,2026384
rust,power_monitoring,100,5,1796158,1827901,77043,1761387,1943830
rust,production_deployment,99,5,1724496,1737361,49119,1701624,1821867
rust,production_scenarios,93,5,1738052,1750632,41841,1709256,1802329
rust,quarantine_manager,256,5,1908836,2003417,263373,1839444,2468084
rust,redundancy_management,186,5,2060962,2110565,113016,1989078,2241535
rust,resource_scheduler,203,5,2049766,2064116,33129,2032171,2103736
rust,self_healing,114,5,1892732,1908347,33160,1887378,1966355
rust,swarm_coordinator,135,5,2055031,2091538,132194,1991833,2322005
rust,test_framework,323,5,2049684,2047572,25948,2020506,2086935
rust,test_validator,300,5,1976434,2014318,55964,1971466,2092472
rust,timer,33,5,1578257,1565352,33615,1523918,1595730
rust,timing_closure,99,5,1745665,1746508,12755,1733679,1766144
rust,topology_visualizer,270,5,2046665,2062162,49446,2018076,2140015
rust,traffic_animator,307,5,2168703,2193363,46888,2153911,2266157
rust,transport_tx_fsm,147,5,1762503,1774694,29644,1744399,1818913
rust,trust_manager,80,5,1808233,1808445,23266,1784869,1837408
rust,wire,63,5,1742796,1744919,50768,1666352,1791642
zig,access_control,162,5,1787805,1783919,54490,1726150,1852373
zig,adaptive_retry,27,5,1456120,1458678,15879,1436511,1474678
zig,adaptive_routing,189,5,1869190,1861233,33389,1826133,1907092
zig,anomaly_detector,235,5,1808407,1814416,21580,1791978,1841341
zig,api_documenter,185,5,1910996,1913146,23265,1893418,1952117
zig,area_optimization,169,5,1712995,1718040,33101,1681770,1772103
zig,auto_config,238,5,1864375,1896058,78236,1818354,2020032
zig,bandwidth_allocator,245,5,2038941,2035619,21339,2001892,2060701
zig,byte_utils,63,5,1571832,1580057,22923,1560605,1617729
zig,cache_management,191,5,1792164,1799098,33722,1764681,1839489
zig,compression_engine,200,5,1804422,1797671,58168,1730383,1880670
zig,congestion_control,154,5,1821823,1850479,144755,1712540,2046733
zig,crc16,55,5,1567928,1590041,50284,1553979,1675698
zig,cross_layer_optimizer,189,5,1912446,1914420,11270,1901407,1932338
zig,docs_generator,218,5,1997530,2017861,47616,1977567,2098856
zig,energy_aware_routing,217,5,1897702,1908517,54006,1841973,1988871
zig,etx,101,5,1614212,1632745,45176,1608468,1713413
zig,failure_predictor,224,5,1910436,1918789,32566,1873968,1954435
zig,fault_detection,193,5,1834445,1834369,42202,1778091,1891977
zig,flow_control,151,5,1794036,1894140,237062,1776357,2317998
zig,fpga_synthesis_report,130,5,1640456,1668548,44284,1631341,1723667
zig,frame_buffer,66,5,1598569,1591235,33092,1538318,1624756
zig,hardware_validation,145,5,1728661,1738617,36909,1688531,1777616
zig,health_dashboard,223,5,1908350,1897005,27617,1853482,1918907
